species;region;12StRNA16S;COI;Cytb;ND1;tRNA – Leu;vWF;RAG2;BRCA1;PLCB4;PEPCK
Rhinolophus creaghi;NA;NA;NA;DQ178986;NA;NA;AF447546 ;AF447528;AF447499;AY835942;NA
Rhinolophus ferrumequinum;NA;AY395859;NA;EF544417;DQ888656;NA;NA;NA;NA;NA;NA
Myotis daubentonii;RU;AY495498;NA;AB106589;FN643239;FN645711;FN645681;FN641679;AF203746;AY835955;NA
Tadarida brasiliensis;CU;AF263219;NA;L19734;DQ979866;NA;FN645692;AY141019;AF203747;FN643272;NA
Furipterus horrens;NA;AF345921;EF080358;AY621004;NA;NA;AY834740 ;AF316451;NA;AY835960;NA
Noctilio leporinus;CR/CU;AF263224; EF080532 ;AF330802;FN643243;FN645715;FN645686;AF330815;FN641903;FN643268;FN641667
Pteronotus parnellii;JM/CR;AF263221;EF080592;AY604456;FN643246;FN645718;FN645689;AF330817;FN641904;AY835957;FN641669
Macrotus waterhousii;MX;AF263229;NA;AY380745;FN643242;FN645714;FN645685;AF316461;FN641905;FN643267;FN641666
Micronycteris microtis;CR;AY395822;NA;AY380756;FN643240;FN645712;FN645683;FN641680;FN641906;FN643265;NA
Diaemus youngi;NA;AF411534;EF080328;NA;AB079812;NA;NA;AF316445;NA;NA;NA
Desmodus rotundus;CR;AF263228;EF080324;DQ077398;FN643230;FN645702;AF447550;AF316444;AF447503;FN643255;NA
Chrotopterus auritus;NA;AF411538;EF080304;NA;FN643227;FN645700;FN645669;AF316442;FN641922;FN643252;FN641656
Vampyrum spectrum;CR;AF411537;EU097074;NA;NA;NA;FN645695;AF316495;NA;NA;FN641673
Tonatia bidens;NA;AF442091;NA;DQ903829;NA;NA;NA;AF442088;AF203745;NA;NA
Tonatia saurophila;NA;AF411531;EF080734;NA;NA;NA;NA;AF442086;NA;NA;NA
Phyllostomus discolor;CR;NA;EF080550;NA;FN643244;FN645716;FN645687;FN641681;NA;FN643269;FN641668
Lophostoma silvicola;CR;AF442092;EF080437;DQ903830;FN643237;FN645709;FN645679;AF442083;FN641924;FN643262;FN641663
Phyllostomus hastatus;CR;AF411541;EF080557;NA;FN643245;FN645717;FN645688;AF316479;NA;FN643270;NA
Phylloderma stenops;CR;AF411542;EU096831;NA;NA;NA;FN645691;AF316480;NA;NA;FN641671
Trachops cirrhosus;CR;AF411539;EF080782;DQ233669;FN643248;FN645720;FN645693;AF316490;FN641923;FN643273;FN641672
Lonchophylla robusta;CR;NA;NA;AF423091;FN643236;FN645708;FN645678;FN641677;FN641907;FN643261;FN641662
Lonchophylla thomasi;NA;AY395842;EF080399;NA;AB079810;NA;NA;AF316456;NA;NA;NA
Lionycteris spurelli;NA;AY395815;EF080376;AF423096;NA;NA;NA;AF316455;NA;NA;NA
Rhinophylla pumilio;NA;AY395827; EF080671 ;AF187029;NA;NA;NA;AF316484;NA;NA;NA
Artibeus jamaicensis;CU;AF263225;AF061340;DQ869518;AF061340;FN645698;FN645666;FN641674;FN641910;AY011789;FN641655
Artibeus lituratus;NA;NA;EU096578;DQ985496;AF142995;NA;NA;DQ985532;NA;NA;NA
Ametrida centurio;NA;AY395802;EF079978;AY604446;NA;NA;NA;AF316430;NA;NA;NA
Centurio senex;NA;AF263227;NA;AY604444;FN643229;FN645701;FN645672;AF316438;FN641909;FN643250;NA
Uroderma bilobatum;CR;AY395831;EF080791;DQ312406;FN643249;FN645721;FN645694;AF316491;FN641911;FN643274;NA
Carollia brevicauda;NA;NA;EF080210;AF511959;NA;NA;FN645670;AF316437;NA;FN643253;NA
Carollia castanea;CR;NA;NA;AF512005;FN643228;FN645696;FN645671;FN641676;FN641908;FN643254;FN641657
Glyphonycteris daviesi;NA;AY395812;EF080365;AY380747;NA;NA;NA;AF316464;NA;NA;NA
Glyphonycteris sylvestris;NA;AY395841;EF080368;AY380746;FN643233;FN645705;FN645675;AF316471;NA;FN643258;NA
Trinycteris nicefori;NA;AY395830;EF080787;AY380749;NA;NA;NA;AF316469;NA;NA;NA
Anoura geoffroyi;NA;NA;EF080018;NA;FN643226;FN645697;FN645667;AF316431;FN641912;AY835951;NA
Hylonycteris underwoodi;CR;AY395813;NA;NA;FN643234;FN645706;FN645676;AF316453;FN641916;FN643259;FN641660
Musonycteris harrisoni;CR;AY395844;NA;NA;NA;NA;FN645682;AF316475;FN641919;FN643264;FN641664
Brachyphylla nana;CU;NA;NA;AY620444;FN643225;FN645699;FN645668;FN641675;FN641913;FN643251;FN641654
Erophylla sezekorni;CU;AY395839;NA;AY620439;FN643231;FN645703;FN645673;AF316450;FN641914;FN643256;FN641658
Phyllonycteris poeyi;CU;NA;NA;NA;FN643247;FN645719;FN645690;FN641682;FN641921;FN643271;FN641670
Glossophaga soricina;JM;AY395840;EF080363;AF423081;FN643232;FN645704;FN645674;AF316452;FN641915;FN643257;FN641659
Leptonycteris curasoae;CR/NA;AY395814;NA;AF382889;FN643235;FN645707;FN645677;AF316454;FN641917;FN643260;FN641661
Leptonycteris yerbabuenae;NA;NA;NA;NA;FN643238;FN645710;FN645680;FN641678;FN641918;FN643263;NA
Monophyllus redmani;NA/CU;AY395824;NA;AF382888;FN643241;FN645713;FN645684;AF316473;FN641920;FN643266;FN641665
